path,filter,best_f1
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_9,0.8506900878293601
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_11,0.8767772511848341
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_13,0.880648899188876
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_15,0.8814729574223247
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_17,0.8862144420131292
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_19,0.8812095032397408
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,median_21,0.8815060908084165
he_10_pic_run08012_ev95_unet_mean_gaussian_median_cygno,cygno_0,0.17355371900826444
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,unet_0,0.8875598086124402
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_9,0.8275
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_11,0.8694581280788177
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_13,0.8845714285714287
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_15,0.8820286659316429
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_17,0.8832951945080092
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_19,0.8824884792626728
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,mean_21,0.8821548821548821
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_9,0.8457711442786071
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_11,0.8763505402160864
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_13,0.88339222614841
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_15,0.8847058823529411
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_17,0.8859060402684564
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_19,0.8899297423887588
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,gaussian_21,0.8847058823529411
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_9,0.8475
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_11,0.8693528693528694
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_13,0.8612099644128114
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_15,0.8448074679113186
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_17,0.8548009367681499
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_19,0.853211009174312
